"Time","481714f496e4","6f2c053265f6","78034b84ad0f","8d2d383ac982"
1592665714000,,,,
1592665714200,,,,
1592665714400,,,,
1592665714600,,,,
1592665714800,,,,
1592665715000,,,75814420,75814432.00000001
1592665715200,,,,
1592665715400,,,,
1592665715600,,,,
1592665715800,,,,
1592665716000,,75814412,,
1592665716200,,,,
1592665716400,,,,
1592665716600,,,,
1592665716800,,,,
1592665717000,,,,
1592665717200,,,,
1592665717400,,,,
1592665717600,,,,
1592665717800,,,,
1592665718000,,,,
1592665718200,,,,
1592665718400,,,,
1592665718600,,,,
1592665718800,,,,
1592665719000,75814392.00000001,,,
1592665719200,,,,
1592665719400,,,,
1592665719600,,,,
1592665719800,,,,
1592665720000,,,75814288.00000001,75814292.00000001
1592665720200,,,,
1592665720400,,,,
1592665720600,,,,
1592665720800,,,,
1592665721000,,75814288.00000001,,
1592665721200,,,,
1592665721400,,,,
1592665721600,,,,
1592665721800,,,,
1592665722000,,,,
1592665722200,,,,
1592665722400,,,,
1592665722600,,,,
1592665722800,,,,
1592665723000,,,,
1592665723200,,,,
1592665723400,,,,
1592665723600,,,,
1592665723800,,,,
1592665724000,75814396,,,
1592665724200,,,,
1592665724400,,,,
1592665724600,,,,
1592665724800,,,,
1592665725000,,,,
1592665725200,,,,
1592665725400,,,,

