"Time","Device","Duration","State"
1592771119000,172.20.0.28,20045,0
1592771120000,172.20.0.28,315,0
1592771121000,172.20.0.28,20034,0
1592771122000,172.20.0.28,20007,0
1592771123000,172.20.0.28,20002,0
1592771126000,172.20.0.28,20001,0
1592771149000,172.20.0.28,240,0
1592771150000,172.20.0.28,325,0
1592771151000,172.20.0.28,344,0
1592771152000,172.20.0.28,33,0
1592771153000,172.20.0.28,314,0
1592771155000,172.20.0.28,793,0
1592771156000,172.20.0.28,342,0
1592771157000,172.20.0.28,321,0
1592771158000,172.20.0.28,915,0
1592771159000,172.20.0.28,532,0
1592771168000,172.20.0.28,10900,0
1592771177000,172.20.0.28,20027,0
1592771178000,172.20.0.28,20001,0
1592771183000,172.20.0.28,20001,0
1592771206000,172.20.0.28,457,1
1592771229000,172.20.0.28,20005,0
1592771230000,172.20.0.28,20006,0
1592770981000,172.20.0.29,395,1
1592771012000,172.20.0.29,341,1
1592771071000,172.20.0.29,20021,0
1592771101000,172.20.0.29,499,0
1592771102000,172.20.0.29,688,1
1592771103000,172.20.0.29,1035,1
1592771105000,172.20.0.29,1172,0
1592771106000,172.20.0.29,1275,0
1592771107000,172.20.0.29,1404,0
1592771108000,172.20.0.29,730,0
1592771112000,172.20.0.29,369,1
1592771113000,172.20.0.29,291,1
1592771116000,172.20.0.29,20034,0
1592771117000,172.20.0.29,341,1
1592771118000,172.20.0.29,333,1
1592771119000,172.20.0.29,20046,0
1592771121000,172.20.0.29,505,0
1592771122000,172.20.0.29,624,1
1592771123000,172.20.0.29,20008,0
1592771124000,172.20.0.29,20001,0
1592771156000,172.20.0.29,709,0
1592771158000,172.20.0.29,685,0
1592771159000,172.20.0.29,338,0
1592771169000,172.20.0.29,12563,0
1592771176000,172.20.0.29,20003,0
1592771177000,172.20.0.29,20027,0
1592771178000,172.20.0.29,20010,0
1592771179000,172.20.0.29,20006,0
1592771180000,172.20.0.29,20054,0
1592771208000,172.20.0.29,705,1
1592771210000,172.20.0.29,878,0
1592771212000,172.20.0.29,542,0
1592771214000,172.20.0.29,802,0
1592771215000,172.20.0.29,204,0
1592771218000,172.20.0.29,700,1
1592771225000,172.20.0.29,20006,0
1592771230000,172.20.0.29,20006,0
1592771310000,172.20.0.29,20005,0
1592771314000,172.20.0.29,20001,0
1592771316000,172.20.0.29,20001,0
1592771317000,172.20.0.29,20004,0
1592771318000,172.20.0.29,20009,0
1592771319000,172.20.0.29,20002,0
1592770981000,172.20.0.30,337,1
1592771012000,172.20.0.30,381,1
1592771052000,172.20.0.30,301,1
1592771072000,172.20.0.30,318,1
1592771100000,172.20.0.30,378,1
1592771101000,172.20.0.30,388,0
1592771102000,172.20.0.30,674,1
1592771103000,172.20.0.30,1044,1
1592771105000,172.20.0.30,1313,0
1592771106000,172.20.0.30,1230,0
1592771107000,172.20.0.30,1360,0
1592771108000,172.20.0.30,549,0
1592771112000,172.20.0.30,312,1
1592771113000,172.20.0.30,257,0
1592771114000,172.20.0.30,20014,0
1592771115000,172.20.0.30,20001,0
